"","Year","Muni","FOB","TONS"
"319",2015,"Bandeirantes",205926.75405192,1337.66251591
"320",2015,"Cruzeiro Do Sul",212042.4855124,3535.901406278
"321",2015,"Inaja",129223.506699878,1752.924834775
"322",2015,"Marilena",272211.801374,4495.69781775
"323",2015,"Nova Londrina",106227.017406014,1816.308371808
"324",2015,"Santa Cruz De Monte Castelo",5840.1914503,63.43807933
"325",2015,"Sao Joao Do Caiua",106207.315485787,1853.143510898
"326",2015,"Bela Vista Da Caroba",28888.3117946,283.984180767
"327",2015,"Braganey",50698.360548,328.82381833
"328",2015,"Cascavel",71488.562556,2805.4989257
"329",2015,"Angulo",1253804.4061947,15988.2953994
"330",2015,"Colorado",933485.2115488,24612.448470737
"331",2015,"Florida",1572313.570318,23541.40967603
"332",2015,"Guaraci",2805330.98799,38803.98820611
"333",2015,"Jaguapita",4724483.94101,80452.4661568
"334",2015,"Munhoz De Melo",2630342.3510457,48987.031580092
"335",2015,"Nossa Senhora Das Gracas",992451.479003,30461.96002928
"336",2015,"Santa Ines",151089.3373745,3347.273047195
"337",2015,"Santa Fe",233370.248651045,3098.94469541
"338",2015,"Uniflor",68053.7593631,1638.58109139
"339",2015,"Apucarana",149052.274579117,1764.675658696
"340",2015,"Arapongas",246859.86512,4533.870083821
"341",2015,"California",1634419.68891738,73172.54993394
"342",2015,"Cambira",4612169.640241,74669.71956364
"343",2015,"Jandaia Do Sul",4482826.794958,237195.27877361
"344",2015,"Novo Itacolomi",1017657.945578,21700.8030437
"345",2015,"Sabaudia",2142078.68483,53766.45023117
"346",2015,"Sao Pedro Do Ivai",6521211.82855,66987.48177594
"347",2015,"Assai",127388.7444265,857.286365985
"348",2015,"Urai",239030.785194,5132.20279854
"349",2015,"Eneas Marques",260262.972707,3218.98901583
"350",2015,"Nova Esperanca Do Sudoeste",222519.373628925,6479.69176068
"351",2015,"Marmeleiro",392437.362661,5412.202715283
"352",2015,"Pinhal De Sao Bento",384570.528301,4007.0921946
"353",2015,"Salgado Filho",94963.0919169,7842.132434457
"354",2015,"Barra Do Jacare",283833.2745104,877.208097783
"355",2015,"Bom Sucesso",319841.2015164,8473.036410104
"356",2015,"Kalore",162035.8773887,3871.341411168
"357",2015,"Marumbi",132889.640667709,3110.857178766
"358",2015,"Pitangueiras",13328538,158880.965
"359",2015,"Cambe",7711496.13831003,59643.737470386
"360",2015,"Rio Bonito Do Iguacu",141616.8450512,8996.352474009
"361",2015,"Ponta Grossa",2435050,11097.263
"362",2015,"Japura",1168052.2810059,15656.606406735
"363",2015,"Imbituva",781994.207141,8054.510661434
"364",2015,"Prudentopolis",568408.156157,1845.118081097
"365",2015,"Ventania",45265.8357567,4958.939319748
"366",2015,"Mandaguari",1964669.228311,15571.194282769
"367",2015,"Maringa",2415041.088263,15942.573510987
"368",2015,"Laguna Carapa",2636509.4779472,28710.915051373
"369",2015,"Bataypora",1603084.471905,71790.336040322
"370",2015,"Angelica",18340405.09781,169219.25887297
"371",2015,"Jatei",4825625.22908,16604.9355325
"372",2015,"Boa Vista Do Incra",1371901.51637,4580.06804789
"373",2015,"Eldorado Do S",1389957.1168565,23990.982415897
"374",2015,"Mariana Pimentel",1116239.44405482,4173.856094369
"375",2015,"Barra Do Ribeiro",3709362.1655,11167.1814866
"376",2015,"Sentinela Do Sul",1568958.803,61762.171882
"377",2015,"Tapes",1193175.738771,12624.3341179
"378",2015,"Capivari Do Sul",836241.4581888,2864.78199996
"379",2015,"Cidreira",3088227.28299867,223362.36424703
"380",2015,"Mostardas",7307477.9903,67681.357752
"381",2015,"Osorio",526462.138967,7807.60000002
"382",2015,"Palmares Do Sul",5171379,68531.764
"383",2015,"Charqueadas",2158100,15488.626
"384",2015,"Triunfo",902109.9931,49978.1170028
"385",2015,"Vale Verde",7300636,45089.577
"386",2015,"Pocone",7597797.3965633,61481.010341985
"387",2015,"Santo Antonio Do Leverger",7408629.797392,79853.307619986
"388",2016,"Unknown Municipality Sao Paulo",1173725,19967.364
"389",2016,"Unknown Municipality Minas Gerais",1098000,7000.756
"390",2016,"Unknown Municipality Parana",266502,496.28
"391",2016,"Unknown Municipality Mato Grosso Do Sul",2401622,68064.23
"392",2016,"Barra Do Bugres",16140549.5676097,92557.235661892
"393",2016,"Itauba",324.51538946,6.65456569
"394",2016,"Vila Bela Santissima Trindade",661487.455111536,31137.161646494
"395",2016,"Nova Ubirata",4893664.82966888,44649.637901296
"396",2016,"Nova Maringa",8163.58989434,298.389342477
"397",2016,"Dianopolis",362969,25971.314
"398",2016,"Santa Rosa Do Tocantins",2503014.4494,13163.3995489
"399",2016,"Silvanopolis",428546.068494,9594.70039148
"400",2016,"Sebastiao Barros",5798.841453,254.0500895
