FOB,FOB_per_TONS,Muni,TONS,Year,codigo_ibg,estado_id,id,pib
1780465.109,45.96693902,Ventania,38733.60175,2016,4128534,18,3584,111281
3524936.975,15.71245578,Japira,224340.2957,2016,4112306,18,3365,45444
2410181.851,41.75493658,Figueira,57722.08147,2016,4107751,18,3305,63654
255608.8415,36.36397417,Congonhinhas,7029.177843,2016,4106001,18,3273,83086
205926.7541,153.9452228,Bandeirantes,1337.662516,2015,4102406,18,3221,335625
6287237.05,68.48788257,Bandeirantes,91800.72173,2014,4102406,18,3221,335625
35283.28153,37.41839898,Bandeirantes,942.9393693,2017,4102406,18,3221,335625
3295206.877,60.56230708,Londrina,54410.19399,2014,4113700,18,3384,9936563
75802.89732,52.66509019,Londrina,1439.338603,2016,4113700,18,3384,9936563
695517.7241,17.14889628,Londrina,40557.57949,2017,4113700,18,3384,9936563
10678.82457,43.24069192,Jataizinho,246.9623887,2016,4112702,18,3369,111987
246859.8651,54.44793533,Arapongas,4533.870084,2015,4101507,18,3210,2141416
149052.2746,84.46440219,Apucarana,1764.675659,2015,4101408,18,3209,1650374
1679674.042,59.47626457,Apucarana,28241.08161,2016,4101408,18,3209,1650374
1742464.602,60.56230709,Jardim Alegre,28771.43699,2014,4112504,18,3367,114262
201162.006,49.3227161,Roncador,4078.485978,2016,4122503,18,3505,147572
1865462.106,60.56230707,Iretama,30802.362,2014,4110805,18,3347,92149
1053691.69,74.15637778,Iretama,14209.05013,2017,4110805,18,3347,92149
301526.1195,30.47403993,Lunardelli,9894.524,2014,4113759,18,3386,45394
693239.9042,55.60699449,Godoy Moreira,12466.77528,2016,4108551,18,3317,26616
2199119.781,60.56230706,Barbosa Ferraz,36311.69101,2014,4102505,18,3222,106074
106679.6382,59.78712607,Barbosa Ferraz,1784.324573,2016,4102505,18,3222,106074
1017657.946,46.8949441,Novo Itacolomi,21700.80304,2015,4117297,18,3435,27375
4058505.733,225.5983014,Rio Bom,17989.96583,2016,4122107,18,3499,33115
4612169.64,61.76760362,Cambira,74669.71956,2015,4103800,18,3245,104479
96516.50376,60.14311701,Cambira,1604.780539,2016,4103800,18,3245,104479
202728.6971,62.20585589,Marumbi,3258.996989,2014,4115507,18,3407,39361
132889.6407,42.71801405,Marumbi,3110.857179,2015,4115507,18,3407,39361
3110687.314,37.49294569,Marumbi,82967.26908,2016,4115507,18,3407,39361
1964669.228,126.1733167,Mandaguari,15571.19428,2015,4114203,18,3391,460056
2518470.251,36.52442021,Mandaguari,68953.05214,2016,4114203,18,3391,460056
1711205.804,39.77724827,Sarandi,43019.713,2014,4126256,18,3553,702452
345778.1902,62.20585589,Bom Sucesso,5558.611568,2014,4103206,18,3234,60583
319841.2015,37.74812075,Bom Sucesso,8473.03641,2015,4103206,18,3234,60583
1833562.99,52.20147068,Bom Sucesso,35124.73818,2016,4103206,18,3234,60583
1094589.043,17.95160944,Sulina,60974.42387,2016,4126652,18,3560,45856
392437.3627,72.50973094,Marmeleiro,5412.202715,2015,4115408,18,3405,150533
94963.09192,12.1093456,Salgado Filho,7842.132434,2015,4122800,18,3509,70936
655115.9294,19.42685699,Pranchita,33722.17801,2014,4120358,18,3476,91612
22774.45019,36.3045381,Planalto,627.316897,2015,4119806,18,3467,151306
41017.80757,19.42685699,Planalto,2111.397,2014,4119806,18,3467,151306
873185.896,19.42685699,Realeza,44947.358,2014,4121406,18,3491,244694
71488.56256,25.48158615,Cascavel,2805.498926,2015,4104808,18,3261,5190870
648645.0959,19.42685699,Capanema,33389.091,2014,4104501,18,3257,285388
50698.36055,154.1809252,Braganey,328.8238183,2015,4103354,18,3237,75598
165686.3818,56.50353294,Crissiumal,2932.318975,2017,4306007,23,4038,197313
681604.6239,21.08759843,Guaraciaba,32322.53431,2015,4206405,24,4514,143409
1985286.26,40.53802101,Guaraciaba,48973.43803,2016,4206405,24,4514,143409
27044.76846,45.65684513,Itapiranga,592.3486038,2015,4208401,24,4541,505145
873185.896,19.42685699,Belmonte,44947.358,2015,4202156,24,4447,32012
655115.9294,19.42685699,Barra Bonita,33722.17801,2015,4202099,24,4444,27041
166.6844383,34.90585416,Saltinho,4.775257397,2015,4215356,24,4637,51427
61590.07129,516.5517408,Serra Alta,119.2331115,2015,4217550,24,4672,45303
377240.2865,19.42685699,Sul Brasil,19418.493,2015,4217758,24,4675,34086
210263.8965,252.3688657,Irati,833.161,2014,4207858,24,4535,26539
648645.0959,19.42685699,Pinhalzinho,33389.091,2015,4212908,24,4607,370549
59.25110426,158.6448229,Modelo,0.373482747,2015,4210902,24,4576,55461
44636.83554,17.11485451,Caibi,2608.075664,2015,4203105,24,4463,102622
260584.9837,35.67990496,Vicente Dutra,7303.410252,2015,4323101,23,4401,57946
304836.4823,39.77724826,Vicente Dutra,7663.589,2014,4323101,23,4401,57946
114170.088,53.04768343,Frederico Westphalen,2152.216282,2016,4308508,23,4089,722244
40809.13394,27.89321449,Alpestre,1463.048798,2015,4300505,23,3925,107813
22774.45019,36.3045381,Planalto,627.316897,2015,4314704,23,4236,116339
41017.80757,19.42685699,Planalto,2111.397,2014,4314704,23,4236,116339
349939.8642,39.77724826,Liberato Salzano,8797.488,2014,4311601,23,4151,80841
16128.08755,181.4777576,Liberato Salzano,88.87087742,2017,4311601,23,4151,80841
32011.03119,26.06450316,Rodeio Bonito,1228.14661,2015,4315909,23,4263,75465
262454.8983,39.77724827,Rodeio Bonito,6598.116,2014,4315909,23,4263,75465
6509.708471,139.6562403,Rodeio Bonito,46.61237091,2017,4315909,23,4263,75465
16880.95927,378.8525936,Novo Tiradentes,44.55811986,2015,4313441,23,4206,30014
1152468.561,39.77724827,Seberi,28973.059,2014,4320206,23,4337,164260
29341.91422,68.20007876,Seberi,430.2328496,2017,4320206,23,4337,164260
6611.515812,17.57452962,Jaboticaba,376.1987349,2015,4310850,23,4135,59940
8887.766137,180.2140898,Jaboticaba,49.31782053,2017,4310850,23,4135,59940
475736.3509,27.28907663,Redentora,17433.2154,2015,4315404,23,4255,84195
253487.7696,33.51336863,Coronel Bicaco,7563.780662,2016,4305900,23,4034,146475
146911.1686,163.7079455,Coronel Bicaco,897.397913,2017,4305900,23,4034,146475
153133.4749,27.9019273,Braga,5488.275892,2015,4302600,23,3972,44491
175277.7912,89.40653417,Braga,1960.458403,2017,4302600,23,3972,44491
1154801.496,39.77724827,Tenente Portela,29031.709,2014,4321402,23,4361,167966
173813.3447,378.8525936,Derrubadas,458.7888472,2015,4306320,23,4045,47424
6425.032388,71.6698993,Derrubadas,89.64757102,2016,4306320,23,4045,47424
77250.37197,378.8525935,Bom Progresso,203.9061453,2015,4302378,23,3967,36088
58007.51591,13.64510226,Bom Progresso,4251.160219,2017,4302378,23,3967,36088
106740.0606,20.20265655,Campo Novo,5283.466572,2015,4304002,23,3989,94161
171352.3496,156.2184741,Campo Novo,1096.87635,2017,4304002,23,3989,94161
36173.45332,378.8525936,Santo Augusto,95.48160401,2015,4317806,23,4294,254395
38595.11805,33.47015734,Nova Ramada,1153.120305,2015,4313334,23,4199,48900
56146.3965,26.11464592,Ajuricaba,2149.996468,2015,4300208,23,3920,150793
111246.0645,517.3928147,Panambi,215.0127742,2017,4313904,23,4213,999966
3644.327806,250.1554288,Cerro Grande,14.56825392,2017,4305157,23,4016,33697
4763.346513,54.78426564,Novo Xingu,86.94734624,2015,4313466,23,4207,24526
10781.95169,380.5192543,Novo Barreiro,28.3348387,2015,4313490,23,4202,51659
1711205.804,39.77724827,Sarandi,43019.713,2014,4320107,23,4336,463981
1112031.05,39.77724826,Constantina,27956.46,2014,4305801,23,4030,141079
25634.17692,100.7464138,Constantina,254.4425746,2017,4305801,23,4030,141079
355625.202,41.02395353,Engenho Velho,8668.720868,2016,4306924,23,4060,29080
1046086.856,39.77724827,Rondinha,26298.623,2014,4316204,23,4267,89686
14849.14314,45.65684513,Barra Funda,325.2336664,2015,4301958,23,3956,75333
307947.0631,39.77724827,Barra Funda,7741.788999,2014,4301958,23,3956,75333
1998.19945,68.12801483,Chapada,29.33007008,2017,4305306,23,4019,211683
1322772.622,39.77724827,Saldanha Marinho,33254.503,2014,4316436,23,4271,67297
933485.2115,37.92736073,Colorado,24612.44847,2015,4305603,23,4028,88828
76754.35751,47.05928584,Alto Alegre,1631.014074,2015,4300554,23,3926,33233
1294972.742,43.44989306,Alto Alegre,29803.81885,2016,4300554,23,3926,33233
20432.62569,172.2396329,Estrela Velha,118.6290596,2016,4307815,23,4075,72955
146656.1885,14.95510723,Jacuizinho,9806.428419,2016,4310876,23,4136,32649
25071.48612,123.2668324,Jacuizinho,203.3919882,2017,4310876,23,4136,32649
524909.7566,39.77724825,Barros Cassal,13196.231,2014,4302006,23,3957,117660
60.28914026,378.8525944,Passa Sete,0.159136142,2015,4314068,23,4219,59564
41114.03617,22.59454329,Agudo,1819.644489,2017,4300109,23,3919,275105
102436.24,30.44831811,Dona Francisca,3364.265954,2017,4306700,23,4054,43381
94150.07457,332.7150106,Arroio Grande,282.9751336,2016,4301305,23,3942,350282
14937.49581,34.10734449,Arroio Grande,437.9554031,2017,4301305,23,3942,350282
1193175.739,94.51395437,Tapes,12624.33412,2015,4321105,23,4356,234033
11936.87376,39.77724827,Tavares,300.093,2014,4321352,23,4360,72852
139975.9378,39.77724827,Mostardas,3518.995,2014,4312500,23,4180,237326
7307477.99,107.9688445,Mostardas,67681.35775,2015,4312500,23,4180,237326
46475.59524,87.57982807,Mostardas,530.6655227,2017,4312500,23,4180,237326
23329.3561,39.77724826,Cidreira,586.5,2014,4305454,23,4025,142565
